日期,王者荣耀,lol,原神,绝地求生,和平精英,英雄联盟,穿越火线,cf,逆水寒,剑网3,梦幻西游,dnf,炉石传说,守望先锋,魔兽世界
2011-01-01,0,3439,0,0,0,5401,69754,166086,1347,5755,74730,222432,0,0,79642
2011-01-02,0,3121,0,0,0,4747,55522,116766,1333,5433,64744,177952,0,0,74555
2011-01-03,0,2880,0,0,0,4483,43938,87475,1276,5342,59553,156978,0,0,69496
2011-01-04,0,3074,0,0,0,3956,30410,57166,1186,5463,68598,146138,0,0,78224
2011-01-05,0,3297,0,0,0,4407,30626,57090,1155,5468,58430,115740,0,0,65490
2011-01-06,0,2876,0,0,0,4486,37010,69642,1162,5706,56267,183176,0,0,66388
2011-01-07,0,3199,0,0,0,5128,41209,84136,1211,5495,56460,139966,0,0,71987
2011-01-08,0,3157,0,0,0,5506,54708,108462,1239,5727,67740,165006,0,0,77763
2011-01-09,0,3370,0,0,0,5711,45621,93584,1223,5403,64684,148037,0,0,75188
2011-01-10,0,2997,0,0,0,4779,34178,65660,1191,5653,51657,125598,0,0,70175
2011-01-11,0,3037,0,0,0,4841,35484,70745,1188,5600,62120,152897,0,0,121695
2011-01-12,0,3174,0,0,0,4615,36945,77071,1188,5365,55120,134268,0,0,72008
2011-01-13,0,3460,0,0,0,4934,44546,95461,1363,5475,57155,190273,0,0,110427
2011-01-14,0,3171,0,0,0,5378,47761,104168,1325,5702,61478,163291,0,0,103006
2011-01-15,0,3256,0,0,0,6459,60338,122630,1268,5897,65846,178917,0,0,92960
2011-01-16,0,3325,0,0,0,5683,51085,105904,1217,5575,60869,161159,0,0,88615
2011-01-17,0,3251,0,0,0,5177,44514,93511,1177,6248,53935,208065,0,0,105287
2011-01-18,0,3611,0,0,0,5407,48558,96628,1186,6187,59244,292955,0,0,114773
2011-01-19,0,4533,0,0,0,6250,56829,118205,1195,7145,59627,234434,0,0,364111
2011-01-20,0,3978,0,0,0,5775,78093,179680,1203,8731,59135,278279,0,0,271294
2011-01-21,0,3273,0,0,0,5479,72461,164778,1192,8923,58318,224894,0,0,109670
2011-01-22,0,3393,0,0,0,5448,65119,138773,1181,6658,58715,249276,0,0,98630
2011-01-23,0,3475,0,0,0,5167,61997,128341,1180,6081,58844,231838,0,0,83570
2011-01-24,0,4850,0,0,0,8998,60829,124779,1176,7393,60266,234423,0,0,80517
2011-01-25,0,4307,0,0,0,7542,62822,127775,1180,9083,89115,371168,0,0,114066
2011-01-26,0,4051,0,0,0,5925,65600,149338,1219,7315,71438,276736,0,0,79415
2011-01-27,0,3669,0,0,0,5538,64230,147982,1229,7088,68425,301813,0,0,79584
2011-01-28,0,3784,0,0,0,5194,59603,144509,1196,6468,69660,225005,0,0,78641
2011-01-29,0,3447,0,0,0,5063,60252,144711,1190,5970,60627,206188,0,0,74895
2011-01-30,0,3625,0,0,0,5158,60958,143781,1156,5630,60339,259475,0,0,79132
2011-01-31,0,3610,0,0,0,5752,60509,141672,1131,5544,58152,193776,0,0,73462
2011-02-01,0,3728,0,0,0,6307,61991,142853,1143,5424,61073,200756,0,0,77922
2011-02-02,0,3605,0,0,0,5924,60572,138831,1063,4782,53541,178428,0,0,64894
2011-02-03,0,3738,0,0,0,5406,61940,140667,1142,4860,53231,181647,0,0,68260
2011-02-04,0,3556,0,0,0,5206,61333,136148,1105,4649,50807,167571,0,0,62966
2011-02-05,0,3283,0,0,0,5148,65729,145927,1158,4793,53456,168116,0,0,65080
2011-02-06,0,3398,0,0,0,5169,63802,136683,1151,4901,52900,167724,0,0,67693
2011-02-07,0,3484,0,0,0,5583,64173,131641,1217,5097,56840,174066,0,0,68679
2011-02-08,0,3692,0,0,0,5285,62775,127289,1215,4879,61736,173476,0,0,73274
2011-02-09,0,3904,0,0,0,6150,62474,135154,1155,5369,61719,179661,0,0,74787
2011-02-10,0,4136,0,0,0,5824,62397,126316,1176,5519,62758,170224,0,0,85103
2011-02-11,0,3964,0,0,0,5425,61089,122693,1157,5494,62841,172125,0,0,76131
2011-02-12,0,3915,0,0,0,5137,60115,121607,1188,5557,62961,174439,0,0,74835
2011-02-13,0,3686,0,0,0,5225,58145,116822,1158,5353,69375,162040,0,0,72687
2011-02-14,0,3591,0,0,0,4780,55291,109162,1166,5165,57028,157129,0,0,69393
2011-02-15,0,3772,0,0,0,5049,57220,110160,1178,5254,64012,260926,0,0,87510
2011-02-16,0,7233,0,0,0,14923,55167,110511,1228,5309,67033,171762,0,0,74964
2011-02-17,0,5923,0,0,0,9480,54203,107853,1182,5483,61200,172338,0,0,74768
2011-02-18,0,5624,0,0,0,10820,72834,169805,1119,5883,59673,242577,0,0,73559
2011-02-19,0,4766,0,0,0,10220,61303,139136,1115,5364,64960,171548,0,0,75932
2011-02-20,0,4225,0,0,0,8828,54545,116553,1116,5163,56669,160726,0,0,74278
2011-02-21,0,4095,0,0,0,7979,40871,81348,1088,7584,51730,150429,0,0,69671
2011-02-22,0,5106,0,0,0,10621,43866,86600,1099,6305,56315,204440,0,0,78789
2011-02-23,0,4787,0,0,0,10156,42416,87550,1108,6118,52314,190091,0,0,71172
2011-02-24,0,4307,0,0,0,7879,41264,83250,1115,6029,51970,149712,0,0,71941
2011-02-25,0,4269,0,0,0,8008,65092,154268,1235,5951,60666,212393,0,0,77862
2011-02-26,0,4377,0,0,0,8877,80526,181071,1534,5873,69839,200142,0,0,84406
2011-02-27,0,4271,0,0,0,7705,65417,137267,1382,5780,64287,166482,0,0,79477
2011-02-28,0,8204,0,0,0,9075,39392,80799,1231,5597,53949,122101,0,0,70282
2011-03-01,0,5483,0,0,0,7662,36878,72520,1152,5734,59487,143515,0,0,122248
2011-03-02,0,4507,0,0,0,6129,35034,76421,1224,5613,52105,109767,0,0,73925
2011-03-03,0,4458,0,0,0,6256,36816,80730,1133,6205,52133,137890,0,0,71438
2011-03-04,0,4524,0,0,0,6693,61538,150706,1182,6183,60636,133567,0,0,79187
2011-03-05,0,4777,0,0,0,7426,89882,220421,1231,6120,72384,168213,0,0,85639
2011-03-06,0,4459,0,0,0,6140,72931,203819,1235,5697,61380,141115,0,0,78838
2011-03-07,0,4376,0,0,0,6859,35995,88943,1132,5763,51556,112668,0,0,71233
2011-03-08,0,4500,0,0,0,7131,41305,88794,1138,5717,58952,154842,0,0,84844
2011-03-09,0,4558,0,0,0,7737,37925,86095,1148,5922,51446,112671,0,0,71819
2011-03-10,0,5161,0,0,0,8509,37268,80185,1179,5914,50879,135192,0,0,70953
2011-03-11,0,4257,0,0,0,7119,50897,115697,1188,5841,57312,142741,0,0,80390
2011-03-12,0,4218,0,0,0,7334,73728,166741,1209,6360,66795,196180,0,0,88300
2011-03-13,0,4265,0,0,0,6585,61387,154940,1251,6205,68942,179653,0,0,83304
2011-03-14,0,8005,0,0,0,8760,34816,76592,1207,7152,50008,119846,0,0,73468
2011-03-15,0,6830,0,0,0,9783,33497,67697,1114,6686,55666,138288,0,0,112556
2011-03-16,0,11322,0,0,0,17142,36997,70388,1137,6979,48711,111434,0,0,79584
2011-03-17,0,9822,0,0,0,14494,38207,70444,1139,6040,48419,141260,0,0,73163
2011-03-18,0,6781,0,0,0,10071,65157,137524,1177,6699,59476,228480,0,0,79892
2011-03-19,0,7560,0,0,0,11299,82876,168437,1279,6360,72337,203088,0,0,86873
2011-03-20,0,6379,0,0,0,9071,64818,133794,1343,5795,63573,168198,0,0,81141
2011-03-21,0,8024,0,0,0,10911,34171,89723,1213,5886,50895,122789,0,0,71901
2011-03-22,0,7969,0,0,0,11414,34275,82534,1168,5796,53029,132869,0,0,98216
2011-03-23,0,9070,0,0,0,13089,37691,87673,1183,5520,46997,149580,0,0,74269
2011-03-24,0,12992,0,0,0,18294,35846,85186,1132,5781,47548,191686,0,0,73037
2011-03-25,0,13172,0,0,0,20931,47390,114251,1145,6069,54978,184696,0,0,94085
2011-03-26,0,11599,0,0,0,17554,73143,165818,1223,6757,62835,216045,0,0,83803
2011-03-27,0,10580,0,0,0,14621,58910,122512,1205,5990,57506,166214,0,0,80464
2011-03-28,0,9818,0,0,0,12217,34190,99217,1191,6189,48004,125715,0,0,71390
2011-03-29,0,10575,0,0,0,11423,33817,104071,1208,5820,54449,161085,0,0,85600
2011-03-30,0,8598,0,0,0,9948,34062,103675,1181,5866,48345,139976,0,0,71229
2011-03-31,0,9902,0,0,0,11103,37088,120384,1171,6228,50964,144585,0,0,70474
