日期,王者荣耀,lol,原神,绝地求生,和平精英,英雄联盟,穿越火线,cf,逆水寒,剑网3,梦幻西游,dnf,炉石传说,守望先锋,魔兽世界
2020-01-01,92378,59224,1626,13813,26736,29684,10793,22483,5010,2413,15038,29631,11965,6227,10540
2020-01-02,64742,50998,1693,10082,14607,25180,6382,13061,6182,2928,15390,31875,11836,5316,11208
2020-01-03,74179,44278,1809,11089,16837,24049,6800,13923,6439,3043,15763,33678,10968,5629,11387
2020-01-04,101400,42565,1738,13957,24628,25003,10348,18863,6471,2557,15616,19010,11494,5909,7309
2020-01-05,91349,38148,1748,13143,22033,22980,8601,13659,5640,2544,15445,16635,10659,5836,7224
2020-01-06,74414,39193,1775,10482,15661,22109,6127,11942,5498,3088,18366,14816,10173,5227,6998
2020-01-07,80942,38192,1823,11284,17016,21253,6713,12171,5415,2717,21725,20126,10641,5463,7469
2020-01-08,132489,39778,1849,14947,21583,22177,7462,13340,5605,2818,15671,18779,10385,5634,7445
2020-01-09,207490,74169,1813,13327,24213,38402,7941,12267,6926,3884,14867,16079,13175,5760,7816
2020-01-10,124423,69528,1832,13843,27288,38524,10938,12570,6269,3081,14992,17790,19386,6644,11977
2020-01-11,117595,50630,1679,15024,29993,31776,10640,12718,5521,2617,12446,20659,13222,6831,10313
2020-01-12,101031,41966,1580,14350,27954,27007,9562,10922,5350,3008,12043,19767,11152,6708,9586
2020-01-13,93147,61344,1804,13593,25469,31162,8779,10692,5988,4117,14386,41943,11042,6183,10238
2020-01-14,102497,58279,20421,14112,16771,30193,8979,11042,6213,2882,17253,68455,10211,6215,10656
2020-01-15,118768,60209,15484,18138,24421,31525,10366,14958,6212,2918,13618,27881,10582,6823,12486
2020-01-16,134926,82064,17467,17052,28207,38855,9644,13906,6941,2773,12681,23200,14009,8202,15030
2020-01-17,113678,74218,9750,15965,28276,35893,9835,14173,5335,3198,13138,17288,12338,9285,20097
2020-01-18,112319,57968,5767,15867,18584,31902,11075,18565,5221,2498,11537,15651,10994,6833,12367
2020-01-19,112211,54592,4637,16506,14154,30861,16248,24780,6772,2511,12451,16319,11257,6933,11926
2020-01-20,111939,55970,3456,16339,14917,31134,19585,32227,9488,2939,13322,14864,11347,7201,11203
2020-01-21,117735,45204,2909,16486,28826,33467,21574,34976,6560,2471,14721,16679,12108,10625,11270
2020-01-22,113637,40609,2717,24272,29988,31943,16215,35510,6260,2221,10742,17351,25435,13462,10526
2020-01-23,123332,38451,2323,16771,30716,26469,28437,32713,5121,2109,10079,17467,15983,11815,10095
2020-01-24,199749,38529,2024,16715,37435,25371,19463,24780,3972,2006,9552,14700,11673,10514,8946
2020-01-25,133372,39513,2257,18127,41035,26556,20104,20976,6244,2420,10640,15256,10792,11530,9143
2020-01-26,123901,40278,2180,18398,22595,31075,23224,26881,9862,2612,12965,17002,11083,11458,11063
2020-01-27,119727,38281,2128,18745,17207,28573,22714,29838,9268,2831,14475,17017,10835,10764,11740
2020-01-28,120616,38353,2329,19258,17198,28470,23595,30511,8594,2772,16871,18206,11470,10836,12427
2020-01-29,119067,38404,2418,19336,17072,28007,20726,27170,10197,2978,15000,20175,13060,11347,13685
2020-01-30,118457,37712,2363,19588,25002,28604,23181,30318,11143,2730,14989,19462,12046,11285,14024
2020-01-31,119869,39000,2692,21928,35408,29931,19093,27324,11855,3543,16269,20535,11783,11057,13596
2020-02-01,116057,38905,2793,19951,19928,29170,11969,14192,10547,3340,21396,21000,11476,9823,14845
2020-02-02,116484,39490,2551,20612,18489,30201,12242,14403,9665,3318,23959,20036,11099,9509,13827
2020-02-03,124019,39155,3535,21245,27276,29490,12435,13873,10230,3472,24484,20038,11239,10049,12851
2020-02-04,121191,37822,3460,21482,25242,29051,12179,14013,12077,3614,25445,20987,12690,11797,14999
2020-02-05,122628,42340,4012,26155,24271,30882,12201,14387,14532,3491,23119,22861,12214,11027,14885
2020-02-06,124729,40413,3144,22650,36084,29620,12167,13842,12691,4126,22651,25508,12713,10335,13461
2020-02-07,127799,40975,3004,21683,23139,28679,12336,14175,9823,3775,22931,21575,13275,10421,13790
2020-02-08,129912,40454,3153,21774,32126,30018,12498,15201,9681,3743,22525,21613,11316,9716,13259
2020-02-09,125063,39258,2663,21560,37179,30026,12045,13363,8676,3601,21926,23001,10902,9596,13909
2020-02-10,136791,46253,2776,22686,38964,31735,11883,13394,10571,3581,22382,21436,11095,9514,13878
2020-02-11,149888,64799,2477,28667,39940,38503,12632,15219,8784,3488,26055,21860,12802,10839,14800
2020-02-12,144334,43841,2703,24568,39900,30039,12597,14336,9457,3529,24369,22790,12694,9556,15488
