日期,原神
2020-01-01,1626
2020-01-02,1693
2020-01-03,1809
2020-01-04,1738
2020-01-05,1748
2020-01-06,1775
2020-01-07,1823
2020-01-08,1849
2020-01-09,1813
2020-01-10,1832
2020-01-11,1679
2020-01-12,1580
2020-01-13,1804
2020-01-14,20421
2020-01-15,15484
2020-01-16,17467
2020-01-17,9750
2020-01-18,5767
2020-01-19,4637
2020-01-20,3456
2020-01-21,2909
2020-01-22,2717
2020-01-23,2323
2020-01-24,2024
2020-01-25,2257
2020-01-26,2180
2020-01-27,2128
2020-01-28,2329
2020-01-29,2418
2020-01-30,2363
2020-01-31,2692
2020-02-01,2793
2020-02-02,2551
2020-02-03,3535
2020-02-04,3460
2020-02-05,4012
2020-02-06,3144
2020-02-07,3004
2020-02-08,3153
2020-02-09,2663
2020-02-10,2776
2020-02-11,2477
2020-02-12,2703
2020-02-13,2510
2020-02-14,2794
2020-02-15,2913
2020-02-16,2354
2020-02-17,2853
2020-02-18,2405
2020-02-19,2518
2020-02-20,2310
2020-02-21,2903
2020-02-22,2684
2020-02-23,2421
2020-02-24,2369
2020-02-25,2294
2020-02-26,2590
2020-02-27,3335
2020-02-28,5000
2020-02-29,3541
2020-03-01,2831
2020-03-02,2640
2020-03-03,2391
2020-03-04,2914
2020-03-05,2545
2020-03-06,3444
2020-03-07,2906
2020-03-08,2513
2020-03-09,2629
2020-03-10,2683
2020-03-11,3143
2020-03-12,9822
2020-03-13,5574
2020-03-14,4149
2020-03-15,3567
2020-03-16,4568
2020-03-17,4981
2020-03-18,14734
2020-03-19,38144
2020-03-20,23376
2020-03-21,16591
2020-03-22,13999
2020-03-23,12527
2020-03-24,10732
2020-03-25,10577
2020-03-26,8798
2020-03-27,8801
2020-03-28,6890
2020-03-29,6318
2020-03-30,7795
2020-03-31,9729
2020-04-01,8571
2020-04-02,7148
2020-04-03,6273
2020-04-04,5099
2020-04-05,4396
2020-04-06,4141
2020-04-07,3853
2020-04-08,3682
2020-04-09,3527
2020-04-10,3286
2020-04-11,2956
2020-04-12,3031
2020-04-13,3085
2020-04-14,2640
2020-04-15,2515
2020-04-16,2612
2020-04-17,2554
2020-04-18,2364
2020-04-19,2335
2020-04-20,2227
2020-04-21,2248
2020-04-22,2205
2020-04-23,2108
2020-04-24,2042
2020-04-25,2067
2020-04-26,2043
2020-04-27,1946
2020-04-28,1979
2020-04-29,2011
2020-04-30,1969
2020-05-01,1879
2020-05-02,1890
2020-05-03,1867
2020-05-04,1863
2020-05-05,1910
2020-05-06,1936
2020-05-07,1887
2020-05-08,1896
2020-05-09,1944
2020-05-10,1877
2020-05-11,1939
2020-05-12,1949
2020-05-13,1967
2020-05-14,2819
2020-05-15,9003
2020-05-16,4807
2020-05-17,3362
2020-05-18,2925
2020-05-19,2947
2020-05-20,2754
2020-05-21,2756
2020-05-22,3340
2020-05-23,2698
2020-05-24,2577
2020-05-25,2792
2020-05-26,2577
2020-05-27,2599
2020-05-28,2583
2020-05-29,3512
2020-05-30,3127
2020-05-31,2560
2020-06-01,2430
2020-06-02,2584
2020-06-03,2900
2020-06-04,2413
2020-06-05,4757
2020-06-06,4145
2020-06-07,3656
2020-06-08,4290
2020-06-09,11990
2020-06-10,9729
2020-06-11,24037
2020-06-12,13203
2020-06-13,12385
2020-06-14,10207
2020-06-15,8625
2020-06-16,7063
2020-06-17,5908
2020-06-18,4834
2020-06-19,4526
2020-06-20,5776
2020-06-21,5208
2020-06-22,4063
2020-06-23,4048
2020-06-24,4269
2020-06-25,5508
2020-06-26,6267
2020-06-27,4620
2020-06-28,4148
2020-06-29,4743
2020-06-30,4012
2020-07-01,3900
2020-07-02,5515
2020-07-03,5176
2020-07-04,4765
2020-07-05,5043
2020-07-06,4118
2020-07-07,3837
2020-07-08,3972
2020-07-09,4139
2020-07-10,6534
2020-07-11,5837
2020-07-12,4731
2020-07-13,4080
2020-07-14,4205
2020-07-15,3825
2020-07-16,3748
2020-07-17,3537
2020-07-18,3661
2020-07-19,3540
2020-07-20,3476
2020-07-21,3473
2020-07-22,4224
2020-07-23,4252
2020-07-24,4037
2020-07-25,3303
2020-07-26,3054
2020-07-27,4268
2020-07-28,4124
2020-07-29,3986
2020-07-30,3979
2020-07-31,4097
2020-08-01,3959
2020-08-02,4126
2020-08-03,4118
2020-08-04,3994
2020-08-05,3946
2020-08-06,4016
2020-08-07,6094
2020-08-08,4163
2020-08-09,4001
2020-08-10,4395
2020-08-11,5892
2020-08-12,5070
2020-08-13,4818
2020-08-14,4557
2020-08-15,3961
2020-08-16,3980
2020-08-17,4277
2020-08-18,22414
2020-08-19,19979
2020-08-20,11929
2020-08-21,10600
2020-08-22,9202
2020-08-23,8652
2020-08-24,9713
2020-08-25,8872
2020-08-26,8931
2020-08-27,9669
2020-08-28,26598
2020-08-29,23351
2020-08-30,16923
2020-08-31,17338
2020-09-01,15333
2020-09-02,15655
2020-09-03,15127
2020-09-04,16874
2020-09-05,17070
2020-09-06,18490
2020-09-07,22281
2020-09-08,23331
2020-09-09,28126
2020-09-10,40288
2020-09-11,40672
2020-09-12,50122
2020-09-13,238802
2020-09-14,217497
2020-09-15,656259
2020-09-16,332920
2020-09-17,210702
2020-09-18,183951
2020-09-19,189122
2020-09-20,170142
2020-09-21,159599
2020-09-22,142019
2020-09-23,129733
2020-09-24,120903
2020-09-25,213032
2020-09-26,175213
2020-09-27,186860
2020-09-28,450985
2020-09-29,269913
2020-09-30,222592
2020-10-01,216186
2020-10-02,191576
2020-10-03,174403
2020-10-04,166051
2020-10-05,158559
2020-10-06,169120
2020-10-07,156853
2020-10-08,147143
2020-10-09,133087
2020-10-10,133785
2020-10-11,134513
2020-10-12,119524
2020-10-13,111865
2020-10-14,107885
2020-10-15,104871
2020-10-16,98224
2020-10-17,108916
2020-10-18,103557
2020-10-19,83430
2020-10-20,90198
