日期,清华大学,清华,北京大学,北大,上海交通大学,复旦大学,复旦,中国人民大学,人大,浙江大学,浙大,南京大学,南大
2011-01-01,5599,1134,4740.0,1606,1632,2374,875,2901.0,969,3512,1016,2707,490
2011-01-02,5311,1111,4625.0,1609,1643,1623,1052,2826.0,961,3118,831,2728,459
2011-01-03,5033,1091,5107.0,1617,1670,2084,693,3131.0,1016,2855,629,2627,483
2011-01-04,6102,1031,5725.0,1727,2151,2580,788,3977.0,1094,3555,743,3410,554
2011-01-05,5921,1068,5445.0,1655,2223,2553,767,3916.0,1068,3570,750,3476,571
2011-01-06,6082,1209,5386.0,1543,2283,2473,813,4061.0,1276,3949,887,3536,523
2011-01-07,6214,1150,5349.0,1634,2236,2660,789,3310.0,1371,4130,958,3758,550
2011-01-08,5689,1188,4692.0,1511,1885,2198,789,3264.0,1575,3632,992,3367,548
2011-01-09,5465,1169,4891.0,1480,1719,2129,753,3923.0,1235,3375,891,3452,575
2011-01-10,5867,1011,5909.0,1561,2012,2429,704,3885.0,1595,3622,794,4087,632
2011-01-11,5684,1136,5633.0,1417,2013,2455,747,3950.0,1375,3654,898,3537,543
2011-01-12,5599,1111,5531.0,1431,2005,2313,718,3885.0,1226,3216,817,3241,608
2011-01-13,5495,1110,5848.0,1568,2070,2536,714,3727.0,1258,3562,799,3508,618
2011-01-14,5844,1122,5938.0,1712,2521,2783,829,3490.0,1262,3930,790,3536,608
2011-01-15,5266,1105,4958.0,1460,1970,2272,823,3587.0,1161,3531,770,3137,536
2011-01-16,4946,1051,4734.0,1464,1815,2159,724,3779.0,1135,3296,705,2892,487
2011-01-17,5759,1097,5432.0,1501,2382,2585,748,3483.0,1213,3548,787,3602,621
2011-01-18,5513,1149,5285.0,1480,2197,2416,712,3316.0,1130,3542,739,3417,609
2011-01-19,5352,969,5231.0,1462,2124,2484,748,3118.0,1113,3334,744,3087,528
2011-01-20,5248,1000,4985.0,1394,2040,2390,805,2763.0,1114,3345,799,3205,560
2011-01-21,5040,1036,5070.0,1426,1927,2343,737,2491.0,1117,3265,796,3003,471
2011-01-22,4286,996,4247.0,1455,1646,1983,649,1476.0,1049,2902,765,2672,497
2011-01-23,4335,925,4624.0,1372,1558,1993,638,1998.0,1061,2975,844,2461,434
2011-01-24,4999,1021,6047.0,1892,1864,2540,761,2090.0,1016,3373,801,2796,516
2011-01-25,5007,1084,4954.0,1493,1705,2295,667,2493.0,1009,3247,778,2590,431
2011-01-26,4761,1022,4632.0,1430,1701,2298,712,2525.0,968,3337,897,2717,454
2011-01-27,4748,1053,4195.0,1444,1601,2162,704,2798.0,895,3229,811,2656,467
2011-01-28,4632,1106,4182.0,1438,1506,2244,690,2831.0,920,3139,763,2552,413
2011-01-29,3852,892,3612.0,1334,1309,1703,603,3236.0,762,2602,700,2235,398
2011-01-30,3895,869,3707.0,1343,1409,1860,579,3320.0,815,2645,723,2138,348
2011-01-31,3623,855,3537.0,1305,1353,1741,577,3402.0,731,2571,651,1978,357
2011-02-01,3408,848,3138.0,1382,1225,1532,543,3528.0,742,2342,632,1820,303
2011-02-02,2339,663,2174.0,1245,1056,1024,443,3560.0,492,1630,476,1306,290
2011-02-03,3065,768,3158.0,1346,1228,1384,487,3396.0,568,2370,590,1710,273
2011-02-04,3465,779,2958.0,1394,1240,1571,540,3058.0,597,2596,700,1962,307
2011-02-05,3884,894,3183.0,1391,1371,1780,611,3228.0,698,2840,784,2183,362
2011-02-06,4141,893,3382.0,1484,1504,1901,691,3734.0,699,2922,804,2390,397
2011-02-07,4501,989,3703.0,1491,1629,2095,665,3641.0,761,3280,859,2653,449
2011-02-08,4538,1001,3839.0,1481,1772,2140,724,3617.0,904,3375,811,2829,484
2011-02-09,5376,1102,4517.0,1547,2043,2574,775,3603.0,1025,3977,872,3282,474
2011-02-10,5524,1141,4778.0,1593,2197,2692,834,3680.0,1048,4165,880,3331,495
2011-02-11,5504,1204,4774.0,1615,2058,2733,920,3655.0,1072,3898,913,3289,505
2011-02-12,5288,1174,4716.0,1597,2024,2712,837,3478.0,1041,3836,871,3048,452
2011-02-13,4853,1146,4539.0,1504,1844,2423,910,4088.0,1033,3399,844,2853,408
2011-02-14,5390,1024,5038.0,1564,2112,2621,834,3698.0,1069,3697,815,3007,449
2011-02-15,5854,1124,5702.0,1643,2260,2736,874,4105.0,1088,3852,938,3264,499
2011-02-16,5877,1150,5666.0,1633,2251,3375,1394,4156.0,1100,4057,1002,3609,509
2011-02-17,5471,1044,5327.0,1540,2145,3341,1186,4207.0,1048,3885,918,3354,488
2011-02-18,5912,1114,6057.0,1733,2448,3104,899,4135.0,1111,3964,976,3438,554
2011-02-19,5477,1142,5653.0,1755,2194,2917,863,4509.0,1078,3875,861,3296,502
2011-02-20,5814,1103,5730.0,1621,2418,2926,873,6227.0,1105,3911,967,3496,553
2011-02-21,6949,1122,6905.0,1721,2885,3287,865,5683.0,1350,4569,906,4309,632
2011-02-22,7192,1183,6818.0,1780,2833,3126,883,5418.0,1309,4717,1014,4446,632
2011-02-23,7092,1155,6761.0,1763,2782,3476,961,5220.0,1279,5014,1012,4526,622
2011-02-24,7023,1152,7067.0,1781,2805,3271,857,5099.0,1273,4750,976,4421,584
2011-02-25,7097,1188,6976.0,1806,2894,3487,1082,4358.0,1366,5010,1016,4778,646
2011-02-26,6781,1117,6649.0,1806,2716,3288,1019,4259.0,1166,4932,1053,4508,642
2011-02-27,6684,1163,6521.0,1719,2581,3184,1017,6308.0,1147,4748,1039,4323,585
2011-02-28,7614,1142,7589.0,1709,3152,3769,1025,6113.0,1646,6937,1186,5137,677
